| Field Path                             | Type             | Description                                                  |
| -------------------------------------- | ---------------- | ------------------------------------------------------------ |
| `propertyName`                         | String           | The unique, machine-readable name of the property, often in a standardized format (e.g., uppercase with underscores). |
| `propertyDescription`                  | String           | A specific description of what the property represents.      |
| `access`                               | String (Enum)    | Defines the property's access permissions. Supported values include `ReadOnly`, `WriteOnly`, `ReadWrite`. |
| `dataType`                             | String (Enum)    | A string code specifying the property's data type. Supported values include `String`, `Boolean`, `Integer`, `IntArray` (Array of 32-bit integers), `Long`, `LongArray` (Array of 64-bit integers), `Float`, `FloatArray`. |
| `changeMode`                           | String (Enum)    | An enum that specifies how the property's value updates are reported. The possible values are: `Static` - The property value is constant and never changes. `OnChange` - The property reports updates only when its value changes. `Continuous` - The property's value changes continuously and is reported at a regular interval. |
| `areaIdProfiles`                       | Array of Objects | A list of profiles defining how this property applies to different areas of the vehicle. |
| `areaIdProfiles[].areaId`              | Integer          | An integer bitmask that specifies a distinct physical location within the vehicle, such as a specific seat or window, allowing you to read from or write to a property for just that targeted zone. |
| `areaIdProfiles[].areaIdDescription`   | String           | A description specifying the exact area or areas covered by the `areaId`. |
| `areaIdProfiles[].minValue`            | Number           | The minimum allowed value for this property in this specific area. Empty value indicates no minimum is enforced. |
| `areaIdProfiles[].maxValue`            | Number           | The maximum allowed value for this property in this specific area. Empty value indicates no minimum is enforced. |
| `areaIdProfiles[].supportedEnumValues` | Array            | A list of specific enumeration values that are supported for this property in this area. An empty array suggests it's not an enum. |
